Client_Num,Customer_Age,Dependent_Count,Car_Owner,House_Owner,Personal_loan,Income,Cust_Satisfaction_Score,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Interest_Earned,Delinquent_Acc
708158133,51,2,1,0,0,23215,2,110,1,131,3031.0,2517,2188,50,0.83,350.08,1
708160008,60,0,0,0,0,103581,3,375,1,96,34516.0,1058,7412,84,0.031,1927.12,0
708161133,49,2,1,1,0,44555,3,150,1,99,6629.0,1389,3891,69,0.21,466.92,0
708162558,43,5,0,1,0,12381,2,420,0,88,3250.0,1992,1355,36,0.613,189.7,1
708163758,54,1,0,1,0,123809,1,470,0,158,34516.0,638,13085,139,0.018,2355.3,0
708170508,32,0,1,0,0,14975,1,250,0,72,1438.3,0,1651,42,0.0,462.28,0
708171858,52,3,0,1,0,30586,1,100,1,104,1864.0,1081,2607,44,0.58,312.84,0
708173433,43,1,0,0,0,28367,3,285,0,40,5645.0,2324,2482,57,0.412,496.4,0
708174708,49,0,1,0,0,15355,1,175,1,69,5535.0,1276,1764,38,0.231,194.04,0
708176208,49,1,0,0,0,53428,2,465,1,89,7268.0,0,4199,80,0.0,587.86,0
708177333,42,3,1,1,0,7865,2,460,1,107,11261.0,2485,1158,26,0.221,243.18,0
708178608,48,3,0,0,0,54304,1,300,0,111,2488.0,0,4226,73,0.0,253.56,0
708185208,47,2,0,1,0,20100,2,110,1,74,3178.0,1118,2010,31,0.352,180.9,0
708186933,47,4,0,1,0,24295,1,195,1,102,1819.0,725,2254,45,0.399,270.48,0
708190158,47,3,0,1,0,32103,3,175,0,113,2920.0,2426,2750,41,0.831,632.5,0
708193008,53,2,0,0,1,14975,2,340,0,148,14480.0,0,1616,43,0.0,387.84,0
708195633,47,4,1,1,0,27517,3,110,1,70,34516.0,1182,2440,54,0.034,488.0,0
708197358,42,1,0,0,1,107887,1,225,0,111,30543.0,264,7784,63,0.009,622.72,1
708204033,53,2,1,0,1,51233,1,295,0,86,2980.0,2093,4132,70,0.702,826.4,1
708205083,54,2,0,0,0,79516,1,125,1,151,1438.3,0,4815,81,0.0,337.05,1
708207783,48,1,0,1,0,73959,1,355,1,107,1477.0,0,4680,80,0.0,514.8,1
708208758,42,3,1,1,0,23377,2,275,1,85,1826.0,883,2199,48,0.484,571.74,1
708211383,44,3,0,1,0,44883,3,200,0,111,2664.0,0,3906,74,0.0,1054.62,1
708212658,40,3,0,0,1,16041,2,190,1,70,2193.0,1260,1799,47,0.575,521.71,1
708216108,58,1,0,1,0,24221,3,300,1,93,4088.0,1557,2250,39,0.381,157.5,1
708217758,57,1,0,1,0,14975,3,475,0,96,14035.0,2061,1606,30,0.147,385.44,1
708219108,38,2,1,0,0,102561,3,300,1,95,9959.0,1143,7300,77,0.115,803.0,1
708219858,53,1,0,1,0,56697,2,390,1,79,6423.0,0,4295,70,0.0,901.95,0
708222558,60,1,0,0,0,53022,3,125,1,109,2310.0,1513,4191,77,0.655,712.47,0
708223383,51,3,1,0,1,32013,1,295,0,81,11410.0,979,2736,38,0.086,793.44,0
708224133,39,4,1,0,0,62192,2,430,1,105,2228.0,1480,4431,71,0.664,841.89,0
708225483,38,2,1,1,0,55061,2,200,1,68,11242.0,1561,4246,81,0.139,806.74,0
708226833,50,2,0,0,0,127461,3,415,0,96,34516.0,831,13247,107,0.024,1192.23,0
708229308,37,1,1,0,0,100839,2,245,1,72,3243.0,0,6059,71,0.0,727.08,0
708231183,39,1,0,0,0,31127,2,460,0,92,12539.0,910,2643,72,0.073,290.73,0
708234558,62,0,0,1,0,67827,3,200,0,88,2239.0,1340,4540,73,0.598,635.6,0
708238833,38,2,0,1,0,12994,1,365,1,61,3032.0,2215,1387,30,0.731,152.57,0
708241233,38,1,0,1,0,5225,1,95,0,73,2972.0,0,922,25,0.0,138.3,0
708242283,44,1,0,1,1,35755,3,295,1,59,5346.0,0,3253,80,0.0,325.3,0
708243483,60,2,1,0,0,24156,2,250,0,119,14938.0,1155,2248,51,0.077,427.12,0
708244458,26,0,0,1,0,37888,3,405,1,91,2793.0,1517,3485,72,0.543,383.35,0
708245808,41,0,1,1,0,145701,1,455,0,78,19671.0,924,13908,124,0.047,2503.44,0
708248358,61,2,1,0,0,186885,1,200,1,67,29937.0,0,14863,109,0.0,1932.19,0
708249708,39,2,1,0,0,14975,1,300,1,92,4844.0,1576,1489,48,0.325,253.13,0
708252108,50,1,0,1,0,49229,2,475,1,162,7362.0,1907,4065,65,0.259,243.9,0
708253458,45,2,0,1,0,81622,2,125,1,113,5528.0,1823,4857,81,0.33,1408.53,0
708254733,56,2,0,0,0,95152,2,325,1,73,2968.0,1873,5171,85,0.631,1241.04,0
708255633,47,3,1,1,0,35666,2,200,0,110,3761.0,1710,3240,65,0.455,550.8,0
708260208,48,3,0,1,0,57686,1,150,1,86,2057.0,1279,4321,76,0.622,1123.46,0
708266883,37,2,0,1,1,25423,3,355,0,136,1666.0,0,2312,35,0.0,184.96,0
708267858,33,4,0,0,0,21500,3,140,0,115,6088.0,2145,2098,52,0.352,482.54,0
708269583,41,1,0,0,0,47653,3,335,1,102,2029.0,1377,4014,86,0.679,1003.5,0
708271833,48,3,0,1,1,37680,3,195,1,63,15069.0,1843,3464,67,0.122,831.36,0
708272808,41,2,1,1,0,38560,2,150,0,76,2718.0,1474,3542,59,0.542,566.72,0
708273858,39,1,0,0,0,41203,1,355,1,112,34516.0,0,3734,80,0.0,522.76,0
708276183,54,2,0,0,0,14975,2,375,0,91,1760.0,0,1554,35,0.0,279.72,0
708281433,40,3,1,0,0,43626,1,335,0,81,1438.3,0,3848,75,0.0,269.36,0
708285108,44,4,1,0,0,131861,1,420,1,80,6128.0,2239,13505,116,0.365,1620.6,1
708286683,38,1,1,0,0,83306,2,250,0,67,12045.0,1749,4884,86,0.145,1123.32,1
708288108,29,0,0,0,0,1250,3,360,1,118,5639.0,1547,647,15,0.274,135.87,1
708290208,63,2,1,0,0,34835,2,355,1,109,13608.0,1190,3118,76,0.087,841.86,1
708291633,54,1,0,0,0,92894,1,390,1,100,4651.0,2499,5097,79,0.537,1223.28,1
708292833,41,2,1,0,0,32170,3,150,1,59,27389.0,1250,2754,60,0.046,247.86,1
708295533,55,2,0,0,0,10119,2,250,0,106,3549.0,1880,1215,22,0.53,230.85,1
708296883,31,1,0,1,1,8250,1,280,0,93,11749.0,788,1178,27,0.067,259.16,1
708298233,44,4,0,0,0,15092,3,125,0,72,6184.0,0,1756,49,0.0,456.56,1
708300483,46,4,0,1,0,1250,1,245,0,110,7882.0,605,704,16,0.077,197.12,1
708301683,40,4,0,1,0,110415,2,125,0,89,20798.0,1059,8038,90,0.051,2009.5,0
708303108,36,3,1,1,0,86574,1,175,0,88,1770.0,1706,4940,94,0.964,1037.4,0
708307533,37,4,1,0,0,51165,2,345,0,89,3086.0,0,4129,81,0.0,371.61,0
708313608,59,1,0,0,0,21659,3,245,1,61,2464.0,2116,2110,43,0.859,274.3,0
708314808,49,3,0,1,0,14975,3,100,1,111,5659.0,1393,1570,40,0.246,298.3,0
708316008,43,5,0,0,0,15806,3,345,1,108,10031.0,0,1792,29,0.0,394.24,0
708319908,56,1,1,1,0,116230,3,300,0,92,4116.0,1473,8667,70,0.358,1820.07,0
708323208,45,5,0,0,1,24058,1,290,1,118,1522.0,0,2241,36,0.0,403.38,0
708324483,63,0,0,0,1,61485,2,290,1,70,1548.0,0,4420,71,0.0,707.2,0
708330858,51,2,0,0,0,1250,3,250,1,133,8249.0,1381,678,11,0.167,122.04,0
708331758,42,3,0,0,1,41112,3,250,0,120,32444.0,1843,3725,60,0.057,409.75,0
708332808,49,4,0,0,0,166923,2,470,1,111,3471.0,0,14381,115,0.0,3163.82,0
708334158,51,1,1,1,0,34512,2,200,0,98,9863.0,686,3068,58,0.07,306.8,0
708337683,27,0,0,0,1,42779,1,465,1,98,21800.0,893,3820,62,0.041,573.0,0
708338958,42,2,0,0,0,42334,3,200,1,54,3173.0,1713,3797,75,0.54,341.73,0
708340758,53,3,1,0,0,111220,2,300,0,88,7769.0,0,8109,74,0.0,1054.17,0
708341958,48,4,0,1,0,64665,1,175,1,75,2061.0,1904,4480,86,0.924,716.8,0
708344358,44,4,0,1,1,11638,2,125,1,81,2495.0,1354,1311,31,0.543,249.09,0
708347583,39,0,0,1,0,16112,2,465,1,42,2509.0,1144,1804,38,0.456,378.84,0
708354858,41,2,0,0,0,111730,1,200,0,58,14938.0,0,8192,80,0.0,491.52,0
708355683,46,4,0,0,1,34013,1,285,0,46,16815.0,0,2976,65,0.0,624.96,0
708357183,38,4,0,0,0,38164,2,300,1,139,1438.3,0,3511,64,0.0,702.2,0
708358683,56,1,1,0,0,14975,1,100,0,92,34516.0,1236,1665,40,0.036,449.55,0
708360108,40,2,0,1,1,82412,2,245,1,71,2800.0,1338,4869,90,0.478,779.04,0
708361833,55,3,0,1,1,39861,2,460,0,76,19430.0,0,3650,80,0.0,511.0,0
708367908,42,4,0,0,0,60037,3,190,0,87,3022.0,1627,4390,82,0.538,614.6,1
708369633,47,2,1,0,0,101602,1,250,1,100,15487.0,1847,7031,67,0.119,1054.65,1
708371733,50,1,0,1,0,86281,2,300,1,83,4662.0,0,4931,81,0.0,1084.82,1
708373083,41,3,1,0,0,20495,2,175,1,110,3356.0,2517,2032,39,0.75,467.36,1
708375858,45,4,0,0,0,57624,1,405,0,83,2776.0,1341,4318,68,0.483,302.26,1
708376983,43,4,0,1,0,21828,3,485,1,149,8513.0,799,2119,37,0.094,127.14,1
708378108,42,2,1,0,0,71834,1,245,0,97,2147.0,771,4631,76,0.359,787.27,0
708382083,35,1,0,0,0,30259,2,245,1,93,2292.0,0,2584,60,0.0,335.92,0
708384033,45,1,0,0,0,28037,3,420,1,108,2745.0,2463,2466,39,0.897,345.24,0
708385533,54,1,0,1,0,119059,2,335,1,99,11059.0,0,9524,80,0.0,1523.84,0
708386958,42,5,1,0,0,19006,3,245,1,88,1561.0,0,1947,28,0.0,175.23,0
708387933,37,3,0,1,1,165306,3,195,0,114,5500.0,0,14357,110,0.0,1435.7,0
708390633,49,2,0,0,0,53965,1,475,0,81,2421.0,2312,4219,69,0.955,295.33,0
708393633,36,3,1,0,0,71640,2,190,0,66,2685.0,1647,4625,94,0.613,370.0,0
708394908,55,3,1,1,0,45818,1,365,1,56,2337.0,1442,3945,65,0.617,276.15,0
708396033,44,3,0,0,0,119585,1,175,0,80,2490.0,1059,12257,101,0.425,3064.25,0
708397008,45,3,0,0,0,57821,1,200,1,70,3805.0,821,4326,67,0.216,865.2,0
708398283,41,3,0,1,0,12775,3,125,1,101,4394.0,885,1377,32,0.201,275.4,0
708399858,45,3,0,1,0,76565,2,415,1,68,2548.0,2250,4747,77,0.883,712.05,0
708402333,57,3,1,1,1,78127,3,395,1,68,4549.0,1313,4782,88,0.289,1243.32,0
708403308,48,3,0,0,0,60111,2,425,1,99,15133.0,1663,4392,68,0.11,570.96,0
708404883,49,3,0,0,0,32229,2,370,0,93,27804.0,0,2761,57,0.0,745.47,0
708406083,57,2,0,1,1,95876,2,380,1,111,3436.0,2493,5211,90,0.726,1094.31,0
708412758,62,1,1,1,0,23378,2,140,1,47,1457.0,0,2200,45,0.0,374.0,0
708414033,45,3,0,1,0,41115,3,245,0,93,2845.0,1153,3730,66,0.405,634.1,0
708416433,53,4,0,1,0,28601,2,125,1,73,2372.0,0,2499,41,0.0,449.82,0
708419733,44,3,0,1,0,76246,3,365,0,66,22599.0,0,4739,55,0.0,1374.31,0
708421833,54,2,0,0,0,6550,2,390,0,85,3342.0,2517,1139,30,0.753,193.63,0
708423933,48,1,0,0,0,35491,2,450,1,57,6103.0,0,3203,64,0.0,288.27,0
708426483,60,1,1,1,0,38451,3,455,0,105,5816.0,716,3534,73,0.123,530.1,0
708427908,33,3,0,0,0,72412,2,395,1,100,2035.0,1343,4643,86,0.66,325.01,0
708428958,57,3,1,0,0,118175,2,345,0,110,34516.0,0,9179,113,0.0,2019.38,0
708431433,41,2,0,0,0,14633,3,225,1,115,11789.0,1420,1463,32,0.12,365.75,0
708433683,62,1,0,0,0,61002,2,125,0,121,3164.0,2201,4410,86,0.696,1146.6,0
708434733,52,2,0,0,0,10627,2,385,0,89,6735.0,2289,1249,28,0.34,262.29,1
708438033,41,4,0,0,1,30828,3,175,1,78,3049.0,2198,2617,48,0.721,575.74,1
708442158,42,4,1,0,0,42377,2,275,0,127,6182.0,1516,3801,61,0.245,988.26,1
708445608,44,4,0,0,0,20389,3,490,0,43,3305.0,2517,2027,57,0.762,222.97,1
708446808,51,3,0,1,0,20281,3,250,1,87,2946.0,1359,2017,48,0.461,564.76,1
708447858,40,2,1,1,0,200276,2,385,0,92,3850.0,0,15107,117,0.0,2417.12,1
708450033,38,2,1,0,0,97684,3,465,1,77,2605.0,2269,5298,79,0.871,370.86,1
708451233,26,0,1,0,0,40785,2,410,1,83,5090.0,1650,3707,72,0.324,593.12,1
708453408,42,3,0,1,0,41039,2,355,0,93,16050.0,0,3721,62,0.0,893.04,1
708455883,33,0,0,1,0,6550,2,175,1,44,10244.0,861,1127,29,0.084,202.86,0
708459633,45,5,0,1,1,14975,2,380,1,92,5815.0,1698,1604,42,0.292,352.88,0
708462258,54,4,0,0,0,235349,2,270,1,83,5189.0,1171,16563,94,0.226,1821.93,0
708469533,57,3,0,1,0,38273,3,250,1,66,5395.0,1439,3523,79,0.267,493.22,0
708472008,47,2,0,1,1,105522,2,325,0,105,6680.0,1839,7632,95,0.275,1984.32,0
708473133,44,5,1,0,0,69787,3,150,1,111,1677.0,0,4588,68,0.0,1284.64,0
708474333,50,4,0,0,0,108894,3,465,0,89,12294.0,2517,7906,87,0.205,790.6,0
708476808,55,1,1,1,0,5525,3,320,0,124,33791.0,1960,1047,31,0.058,188.46,0
708478233,45,2,0,1,0,58670,3,395,1,119,5573.0,1238,4348,90,0.222,869.6,0
708480333,65,0,0,0,0,23891,3,460,0,95,2163.0,932,2229,57,0.431,534.96,0
708482658,51,2,1,0,1,219668,2,125,1,87,9959.0,1946,15594,114,0.195,2495.04,0
708483708,39,2,1,0,0,58122,3,250,0,74,28600.0,0,4336,66,0.0,1214.08,0
708486033,59,0,1,0,0,15671,3,395,0,83,16547.0,1521,1782,48,0.092,267.3,0
708488208,45,3,1,1,1,23898,3,125,0,161,2515.0,1922,2231,58,0.764,267.72,0
708489258,56,5,1,0,0,38817,3,250,1,84,1438.3,988,3561,72,0.687,249.27,0
708491508,46,3,0,1,0,43716,2,465,0,116,13906.0,1430,3856,68,0.103,964.0,0
708492558,56,2,0,0,0,6550,2,95,1,74,15088.0,865,1107,21,0.057,77.49,0
708494583,48,5,0,0,0,41132,3,375,1,107,1902.0,0,3731,53,0.0,559.65,0
708496833,33,1,1,1,0,117520,2,150,0,100,4613.0,0,8970,78,0.0,627.9,0
708498033,45,3,0,1,0,32495,3,335,1,79,2279.0,1837,2789,52,0.806,753.03,0
708499608,43,4,0,0,0,48566,2,220,1,67,15525.0,1299,4042,78,0.084,970.08,0
708500883,40,4,0,1,0,113841,2,350,0,118,17812.0,0,8379,106,0.0,1424.43,0
708501783,35,2,1,0,0,17340,3,315,0,75,34516.0,1477,1868,40,0.043,504.36,0
708502908,48,2,1,0,0,45372,2,455,0,115,26218.0,0,3925,88,0.0,785.0,0
708504783,47,3,0,1,0,37815,2,350,1,100,10960.0,1333,3480,62,0.122,939.6,0
708506508,52,1,0,0,1,83535,2,430,0,69,2884.0,1144,4887,90,0.397,439.83,0
708507483,55,4,0,0,0,78913,3,455,0,106,1477.0,0,4802,82,0.0,768.32,0
708508758,34,4,1,0,0,1250,3,375,1,52,1438.3,0,692,16,0.0,76.12,0
708510858,55,2,0,0,0,214404,2,300,1,81,4905.0,2413,15478,109,0.492,3714.72,0
708511983,48,3,1,1,0,45977,3,415,0,61,1663.0,0,3950,82,0.0,276.5,0
708513183,40,5,0,0,0,34616,3,100,0,81,4323.0,1267,3078,58,0.293,430.92,0
708514383,55,4,0,1,0,57484,2,420,0,78,3809.0,1172,4314,81,0.308,301.98,0
708515358,45,4,0,1,0,53906,2,190,1,104,4712.0,0,4216,82,0.0,505.92,0
708516558,42,4,0,1,0,52148,3,395,0,68,2588.0,1782,4159,83,0.689,415.9,0
708519108,47,2,1,1,0,20597,2,300,1,94,2694.0,1576,2041,57,0.585,571.48,0
708522033,36,1,0,1,0,198343,3,480,0,95,12299.0,1664,15060,90,0.135,2108.4,0
708525108,34,3,0,0,0,50792,2,175,1,116,2156.0,1134,4120,77,0.526,329.6,0
708528483,44,2,0,0,0,13010,2,435,1,55,3187.0,2430,1387,33,0.762,124.83,0
708532308,40,3,1,1,0,34149,2,245,0,116,11419.0,2517,3000,70,0.22,750.0,0
708534033,58,1,0,1,1,75578,2,225,1,88,6274.0,883,4726,82,0.141,1276.02,0
708535158,33,1,0,0,0,114717,3,245,0,73,9959.0,1501,8505,86,0.151,2466.45,0
708536283,36,2,0,0,0,31226,2,190,1,100,2904.0,2517,2653,46,0.867,583.66,0
708538608,50,2,0,0,1,48968,3,125,1,51,3862.0,0,4058,81,0.0,243.48,0
708539583,51,1,0,1,0,46675,3,395,1,92,19897.0,2232,3979,63,0.112,1034.54,0
708542283,38,1,1,0,0,60253,2,200,0,74,2495.0,2061,4399,70,0.826,659.85,0
708543258,55,2,1,1,0,20631,2,95,0,48,2607.0,1880,2045,39,0.721,388.55,0
708545058,59,0,1,0,0,94345,2,150,1,105,1438.3,986,5136,81,0.686,1027.2,0
708549033,45,4,0,0,0,90458,2,440,1,149,2055.0,1276,5025,70,0.621,753.75,0
708551508,41,3,0,0,0,87971,2,450,1,72,3264.0,2508,4966,78,0.768,744.9,0
708553008,49,4,1,0,0,74928,1,425,0,147,2148.0,1103,4711,64,0.514,1366.19,0
708555633,51,3,0,0,0,203890,2,300,1,164,3548.0,2517,15157,97,0.709,1212.56,0
708557358,44,4,0,0,1,18357,2,250,1,110,22157.0,1355,1911,55,0.061,305.76,0
708558408,48,3,0,0,0,41925,3,470,0,67,9949.0,1597,3776,83,0.161,792.96,0
708559533,43,1,1,0,1,62768,2,460,0,52,1770.0,584,4442,83,0.33,310.94,0
708560733,37,3,0,1,0,75192,3,460,1,94,3714.0,2517,4715,85,0.678,1037.3,0
708563433,40,2,0,0,0,14975,3,140,0,83,5894.0,477,1616,32,0.081,177.76,0
708564858,54,2,0,1,0,118629,1,390,1,124,34516.0,0,9338,73,0.0,2241.12,0
708568983,53,3,0,1,0,111225,3,495,0,77,11476.0,2365,8110,113,0.206,2108.6,0
708572658,51,3,1,0,0,196200,1,250,0,147,29531.0,2088,15039,120,0.071,2406.24,0
708573933,50,3,1,1,0,183118,2,385,1,103,13026.0,789,14747,100,0.061,3981.69,0
708575058,50,0,1,1,0,36188,3,395,1,135,3157.0,965,3300,58,0.306,759.0,0
708577308,58,0,0,0,0,14975,2,455,1,110,2637.0,1272,1569,39,0.482,156.9,0
708579633,51,1,0,1,0,13704,1,275,1,92,23981.0,1788,1421,34,0.075,85.26,0
708580908,41,2,1,0,1,12686,3,245,1,52,14551.0,2517,1373,35,0.173,356.98,0
708582858,47,1,1,0,0,33801,2,125,0,66,18293.0,0,2958,63,0.0,266.22,0
708584208,44,2,0,1,0,26226,2,395,0,82,3111.0,2517,2367,41,0.809,639.09,0
708585933,37,2,0,1,0,55576,1,125,0,125,1656.0,1429,4258,77,0.863,298.06,0
708588408,51,3,1,1,0,61579,3,110,1,105,6836.0,1607,4421,74,0.235,707.36,0
708590658,39,4,1,1,0,14975,3,470,0,88,15965.0,2312,1619,40,0.145,307.61,0
708593883,35,0,0,1,0,16316,3,370,0,114,2731.0,1573,1813,38,0.576,290.08,0
708595158,45,4,1,1,0,26447,2,150,1,115,1677.0,1598,2389,43,0.953,430.02,0
708596283,56,3,1,1,0,32924,1,200,0,51,2858.0,1251,2844,73,0.438,170.64,0
708597558,49,5,0,1,1,45984,2,390,1,83,3337.0,795,3951,68,0.238,671.67,0
708600033,55,2,0,1,0,87531,2,340,0,149,1610.0,0,4958,87,0.0,842.86,0
708602283,47,4,1,0,0,45701,1,420,1,84,2887.0,0,3941,82,0.0,669.97,1
708606633,65,0,0,1,0,18114,3,465,1,169,1544.0,0,1902,35,0.0,114.12,1
708611733,37,3,0,1,1,73096,3,415,0,73,3119.0,1328,4659,82,0.426,372.72,1
708614058,40,3,0,0,0,44044,1,500,1,99,1960.0,1690,3870,67,0.862,580.5,1
708615183,48,3,0,1,0,68693,3,345,0,103,3828.0,1146,4558,90,0.299,319.06,1
708618933,36,4,1,0,0,35767,1,100,1,113,4369.0,2049,3259,80,0.469,358.49,1
708620283,48,2,1,1,0,23554,1,125,1,59,6053.0,2001,2208,59,0.331,441.6,1
708621408,47,3,1,1,0,52557,2,245,1,99,1438.3,0,4173,82,0.0,1001.52,1
708623283,31,0,1,0,0,21274,3,150,1,149,18278.0,0,2084,61,0.0,395.96,0
708626058,53,3,0,0,0,50213,3,475,0,84,5242.0,1465,4098,68,0.279,1147.44,0
708633783,33,3,0,1,0,16244,2,245,0,78,11336.0,0,1809,39,0.0,452.25,0
708635058,41,3,0,0,0,78702,2,245,0,81,1904.0,886,4798,85,0.465,527.78,0
708637758,27,1,0,0,0,38269,1,175,0,119,17345.0,545,3523,64,0.031,457.99,0
708642708,28,0,1,0,0,14975,3,475,1,120,13019.0,0,1484,33,0.0,326.48,0
708644208,40,1,0,0,0,36638,1,250,1,110,5858.0,0,3355,77,0.0,436.15,0
708646233,35,1,0,0,0,39538,2,450,1,120,17116.0,1289,3632,50,0.075,726.4,0
708649683,51,3,1,1,0,214064,1,345,0,120,16703.0,1140,15472,122,0.068,4486.88,0
708651933,56,1,1,1,0,25413,2,350,0,117,2043.0,1928,2311,57,0.944,462.2,0
708652908,42,3,0,0,0,65425,2,250,1,118,2291.0,1419,4498,81,0.619,809.64,0
708653958,60,1,1,1,1,30594,3,225,1,51,6114.0,1461,2608,36,0.239,443.36,0
708654933,27,1,0,1,0,20322,1,480,0,80,15987.0,193,2021,46,0.012,202.1,0
708655983,42,2,1,1,0,12264,1,125,1,120,5267.0,0,1353,24,0.0,392.37,0
708657033,38,1,1,0,0,43330,2,465,1,138,2694.0,1923,3837,71,0.714,345.33,0
708660408,57,1,0,0,0,27897,2,480,1,95,1737.0,1689,2459,43,0.972,516.39,0
708662583,53,1,0,0,0,113458,2,300,1,93,27945.0,0,8345,70,0.0,917.95,0
708664008,39,0,0,0,0,10286,1,455,1,48,14270.0,0,1222,37,0.0,73.32,0
708665133,48,3,1,0,0,47309,1,220,0,51,3654.0,1172,4003,67,0.321,640.48,0
708666258,49,4,0,0,0,13305,2,125,1,98,8129.0,1799,1402,33,0.221,364.52,0
708668283,54,1,0,1,0,16829,1,290,0,97,5140.0,2517,1842,36,0.49,147.36,0
708669408,32,2,1,1,1,72173,2,225,0,74,20401.0,0,4637,75,0.0,1205.62,0
708670608,49,3,0,1,0,94093,2,125,0,61,5495.0,2200,5125,85,0.4,1178.75,0
708671733,51,2,0,1,0,50004,1,415,1,164,2072.0,1499,4091,71,0.723,450.01,0
708672708,43,5,1,1,0,46921,3,125,1,56,34516.0,2517,3990,65,0.073,598.5,0
708679383,53,3,1,0,0,15566,3,250,0,65,4852.0,1777,1775,55,0.366,301.75,0
708680583,50,1,1,1,0,86542,1,495,1,97,2043.0,1590,4940,68,0.778,1235.0,0
708681708,49,4,1,0,0,19558,1,275,1,98,3245.0,0,1977,29,0.0,553.56,0
708682908,42,2,0,1,0,115771,3,125,0,108,2838.0,1934,8644,87,0.681,1296.6,0
708684108,48,3,1,0,0,23705,1,250,1,109,4152.0,1446,2218,30,0.348,598.86,0
708687483,47,3,1,1,1,14975,3,250,1,65,13626.0,0,1711,30,0.0,222.43,0
708688608,48,3,0,1,0,14975,3,405,1,98,3140.0,1985,1626,41,0.632,162.6,0
708689958,31,1,1,1,0,76589,3,435,1,75,2406.0,1744,4748,88,0.725,1187.0,0
708692583,43,1,1,1,0,25474,2,150,0,73,1506.0,168,2312,44,0.112,647.36,0
708693558,51,2,1,1,0,102868,3,485,1,82,12569.0,2167,7344,95,0.172,4129.76,0
708694983,54,1,1,0,0,183156,2,385,1,88,3150.0,2222,14750,96,0.705,3982.5,0
